rank,title,singer,cnt,year
1,4집 미인아 (BONAMANA),슈퍼주니어 (Super Junior),200193,2010
2,2집 Oh!,소녀시대,197934,2010
3,`훗(Hoot)` The 3rd Mini Album,소녀시대,163066,2010
4,`Run Devil Run` The 2nd Album (Repackage),소녀시대,136851,2010
5,GD & TOP,"GD, TOP (빅뱅)",130000,2010
6,Lucifer,샤이니 (SHINee),124961,2010
7,1집 To Anyone,2NE1,122845,2010
8,The Beginning,JYJ,99903,2010
9,The 4th Album Repackage `미인아`,슈퍼주니어 (Super Junior),99355,2010
10,The Beginning (New Limited Edition),JYJ,98311,2010
11,The Beginning (Luxury Package),JYJ,92649,2010
12,Mini Album 1집 `Bluetory`,씨엔블루 (CNBLUE),77183,2010
13,성균관 스캔들 OST,Various Artists,76951,2010
14,Still 2:00pm (EP),2PM,72966,2010
15,2nd Mini Album `Bluelove`,씨엔블루 (CNBLUE),71468,2010
16,3rd Mini Album `루팡 (Lupin)`,카라 (KARA),64782,2010
17,`Hello` SHINee The 2nd Album Repackage,샤이니 (SHINee),63118,2010
18,Mini Album Destination,SS501,61918,2010
19,Shock Of The New Era,비스트 (Beast),59868,2010
20,3rd Single Don`t Stop Can`t Stop,2PM,57873,2010
21,Mini Album `죽어도 못 보내`,2am,57488,2010
22,6집 Hurricane Venus,보아 (BoA),55776,2010
23,Mastermind,비스트 (Beast),55674,2010
24,Lights Go On Again,비스트 (Beast),54243,2010
25,미남이시네요 OST,Various Artists,54117,2010
26,Back To The Basic,비,53584,2010
27,미남이시네요 OST Part 2,Various Artists,47860,2010
28,2nd Mini Album `Beautiful Journey`,F.T Island,45294,2010
29,The 1st Asia Tour Concert `Into The New World`,소녀시대,44999,2010
30,Saint O`clock,2am,42707,2010
31,1집 1:59PM,2PM,42306,2010
32,믿어줄래,박재범,41316,2010
33,3집 O -正.反.合. (정반합),동방신기,41108,2010
34,2NE1 1st Mini Album,2NE1,40949,2010
35,Breaking Heart (Repackage),티아라 (T-ara),40695,2010
36,7집 풍류,DJ DOC,40571,2010
37,점핑 (Jumping),카라 (Kara),39580,2010
38,잘못했어,2am,37004,2010
39,1집 Solar,태양,36444,2010
40,2집 Revolution,카라 (KARA),36418,2010
41,콘서트 라이브앨범 `Shine A Light`,G-Dragon,35604,2010
42,Browneyed Soul,브라운 아이드 소울 (Brown Eyed Soul),34072,2010
43,Real,아이유 (IU),33953,2010
44,1집 Heartbreaker,G-Dragon,33453,2010
45,Group Of 20: Let`S Go!,Various Artists,31954,2010
46,4집 H-Logic,이효리,31756,2010
47,1집 Day Off,Verandah Project,31400,2010
48,Gee,소녀시대,31087,2010
49,DIVA : The Singles Collection,Sarah Brightman,30960,2010
50,소원을 말해봐 (Genie),소녀시대,29968,2010
51,2 Different Tears,원더걸스 (Wonder Girls),28594,2010
52,BIGSHOW 2010 VOL.5: BIGBANG LIVE CONCERT,BIGBANG (빅뱅),28283,2010
53,3집 Heart & Soul,바비 킴 (Bobby Kim),27361,2010
54,NU 예삐오 (NU ABO),f(x),27281,2010
55,1집 Baby Baby (Repackage),소녀시대,27154,2010
56,Solar (Deluxe Edition),태양,26979,2010
57,사랑 참 어렵다 (이승철 10th 리패키지),이승철,26219,2010
58,에필로그 (Epilogue),에픽하이 (Epik High),25988,2010
59,2nd Single `Y`,엠블랙 (MBLAQ),25944,2010
60,Beast Is The B2ST,비스트 (Beast),25364,2010
61,사랑,이적,25010,2010
62,1집 소녀시대,소녀시대,24802,2010
63,Digital Bounce (EP),세븐,24604,2010
64,4집 Vibe In Praha,바이브 (Vibe),23995,2010
65,4집 The Fourth Album `Mirotic`,동방신기,23882,2010
66,2nd Mini Album `Hit Your Heart`,4Minute (포미닛),23218,2010
67,`너무 그리워` S.M. The Ballad Vol.1,S.M. The Ballad,23162,2010
68,RealSlow Is Back,휘성,22466,2010
69,Time To Shine,초신성,22411,2010
70,Saint O`clock,2am,21464,2010
71,Solar (인터내셔널 릴리즈 앨범),태양,21182,2010
72,Best Selection 2010 (CD Ver.),동방신기,21089,2010
73,1집 Only One Album,유키스 (U-Kiss),20911,2010
74,"`2009, Year Of Us` The Third Mini Album",샤이니 (SHINee),20727,2010
75,Christmas Gift From 東方神起,동방신기,20637,2010
76,4번째 응원 앨범 `The shouts of Reds`,붉은악마,20000,2010
77,6집 Eleventh Story / 이 사람이다,김종국,19926,2010
78,SG Wannabe 7 Part 1,SG 워너비,19642,2010
79,Break Time (EP),유키스 (U-Kiss),19583,2010
80,Remember,BIGBANG (빅뱅),19186,2010
81,5집 PSYFIVE (싸이파이브),싸이 (Psy),18804,2010
82,10집 Dreamizer,이승환,18371,2010
83,Vol.2 Temptastic (EP),티아라 (T-ara),17645,2010
84,The 3rd Asia Tour Concert `Mirotic` Live Album,동방신기,17641,2010
85,Supremier,슈프림팀 (Supreme Team),17432,2010
86,Just Blaq,엠블랙 (MBLAQ),17020,2010
87,매리는 외박중 OST Part 1,Various Artists,17014,2010
88,일 더하기 삼,박상민,17000,2010
89,The 3rd Generation Special Album / 못해,포맨 (4Men),16976,2010
90,Shadow (Repackage),이승기,16755,2010
91,3rd Mini Album `Innocence`,다비치,16749,2010
92,20th Anniversary - Best Collection & Tribute Album,신승훈,16469,2010
93,Merry Christmas II You,Mariah Carey,16245,2010
94,시소,뜨거운 감자,16202,2010
95,Gift Part 2,박효신,16181,2010
96,뱅 (Bang)!,애프터스쿨 (After School),15914,2010
97,Honey (Special Edition),카라 (KARA),15824,2010
98,1집 Blooming,카라 (KARA),15513,2010
99,시크릿 가든 OST,Various Artists,15015,2010
100,아이리스 OST (일본발매),Various Artists,15000,2010
1,The Boys,소녀시대,385348,2011
2,5집 Mr. Simple,슈퍼주니어 (Super Junior),343348,2011
3,`왜(Keep Your Head Down)` New Album,동방신기,263412,2011
4,2집 In Heaven,JYJ,220442,2011
5,1집 Fiction And Fact,비스트 (Beast),142272,2011
6,빅뱅 미니앨범 4집,BIGBANG (빅뱅),136594,2011
7,The 5th Album Repackage A-CHA,슈퍼주니어 (Super Junior),129894,2011
8,1집 First Step,씨엔블루 (CNBLUE),115467,2011
9,Break Down (EP),김현중,114642,2011
10,Lucky (2nd Mini Album),김현중,101705,2011
11,3집 Step,카라 (Kara),100662,2011
12,Hands Up,2PM,100379,2011
13,빅뱅 스페셜에디션,BIGBANG (빅뱅),89371,2011
14,2NE1 2nd Mini Album,2NE1,85819,2011
15,2집 Last Fantasy,아이유 (IU),71860,2011
16,무한도전 서해안고속도로,Various Artists,71300,2011
17,Take A Deeper Look,박재범,66316,2011
18,In Heaven (Special Edition),JYJ,62790,2011
19,1집 `피노키오` f(x) The 1st Album,f(x),61637,2011
20,왜 (Keep Your Head Down) Repackage `이것만은 알고 가`,동방신기,60205,2011
21,5집 Tonight,이승기,60055,2011
22,박칼린의 칼린 셀렉츠 (Kolleen Selects),Various Artists,58734,2011
23,정규1집 OVER THE TOP,인피니트 (Infinite),57111,2011
24,미남이시네요 OST,Various Artists,56984,2011
25,Paradise,인피니트 (Infinite),56465,2011
26,RETURN (EP),FTISLAND (FT 아일랜드),52932,2011
27,미남이시네요 OST Part 2,Various Artists,51556,2011
28,Black Eyes,티아라 (T-ara),48205,2011
29,시크릿 가든 OST Special,Various Artists,47823,2011
30,The 1st Asia Tour Concert `Into The New World`,소녀시대,46568,2011
31,`Hot Summer` f(x) 1st Album Repackage,f(x),46032,2011
32,2011 SMTOWN Winter `The Warmest Gift`,SM Town,44467,2011
33,Real,아이유 (IU),42879,2011
34,1st Mini Album V.V.I.P,승리,41812,2011
35,Mona Lisa,엠블랙 (MBLAQ),41025,2011
36,7집 처음,성시경,40742,2011
37,나는 가수다 경연 1 (CD),Various Artists,39297,2011
38,SuperJunior-M 2nd Mini Album `太完美`,슈퍼주니어-M (Super Junior-M),37756,2011
39,it B1A4,비원에이포 (B1A4),36342,2011
40,Memory In FTIsland (ReMake Album),FTISLAND (FT 아일랜드),36143,2011
41,GD & TOP,"GD, TOP (빅뱅)",34703,2011
42,2집 Wonder World,원더걸스 (Wonder Girls),34140,2011
43,4Minutes Left,4Minute (포미닛),34004,2011
44,`Run Devil Run` The 2nd Album (Repackage),소녀시대,32147,2011
45,Let It Go (EP),허영생,32078,2011
46,1집 A Class,miss A,31885,2011
47,1집 BLAQ Style,엠블랙 (MBLAQ),31634,2011
48,First Step ＋1 Thank You,씨엔블루 (CNBLUE),31447,2011
49,1집 To Anyone,2NE1,31362,2011
50,The 3rd Asia Tour Concert Album `Super Show 3`,슈퍼주니어 (Super Junior),30951,2011
51,Inspirit,인피니트 (Infinite),30143,2011
52,존트라볼타 워너비,티아라 (T-ara),30116,2011
53,2nd Mini Album `Bluelove`,씨엔블루 (CNBLUE),29665,2011
54,Trouble Maker,트러블메이커,29383,2011
55,Evolution,인피니트 (Infinite),28143,2011
56,AsuRa BalBalTa,리쌍,27755,2011
57,KimdongrYULE,김동률,27724,2011
58,성균관 스캔들 OST,Various Artists,27224,2011
59,1집 Virgin,애프터스쿨 (After School),26418,2011
60,`Hello` SHINee The 2nd Album Repackage,샤이니 (SHINee),26300,2011
61,넌 내게 반했어 OST Part 1,Various Artists,26160,2011
62,2011 빅뱅 콘서트 라이브 앨범 `Big Show`,BIGBANG (빅뱅),25834,2011
63,The Beginning (Worldwide Concert In Seoul Edition),JYJ,25713,2011
64,드림하이 OST,Various Artists,25347,2011
65,4집 Sixth Sense,브라운아이드걸스,25239,2011
66,Mini Album 1집 `Bluetory`,씨엔블루 (CNBLUE),24889,2011
67,Roly-Poly in 코파카바나 (미니 리패키지),티아라 (T-ara),24179,2011
68,보스를 지켜라 OST,Various Artists,23955,2011
69,3rd Mini Plus Album Real+,아이유 (IU),23508,2011
70,"서바이벌 나는 가수다 (경연 1, 2)",Various Artists,23084,2011
71,Let`s Fly,비원에이포 (B1A4),22895,2011
72,Super Junior-M 2nd Mini Album `太完美` (Repackage),슈퍼주니어-M (Super Junior-M),22352,2011
73,So 女,레인보우 (Rainbow),21900,2011
74,Don't Touch My Girl (Single),보이프렌드 (Boyfriend),21106,2011
75,New Kids On The Block,블락비 (Block B),21091,2011
76,2집 Oh!,소녀시대,20588,2011
77,Bran New Kiss (EP),유키스 (U-Kiss),20216,2011
78,매리는 외박중 OST Part 1,Various Artists,19979,2011
79,Lights Go On Again,비스트 (Beast),19894,2011
80,Shock Of The New Era,비스트 (Beast),19487,2011
81,미스 리플리 OST,Various Artists,19248,2011
82,Roman,틴 탑 (Teen Top),19231,2011
83,Vol.2 Temptastic (EP),티아라 (T-ara),18978,2011
84,1집 So Cool,씨스타 (Sistar),18815,2011
85,Turn Me On,김규종,18735,2011
86,BLAQ Style 3D Edition,엠블랙 (MBLAQ),18533,2011
87,점핑 (Jumping),카라 (Kara),18475,2011
88,`훗(Hoot)` The 3rd Mini Album,소녀시대,17759,2011
89,매리는 외박중 OST Part 2,Various Artists,17610,2011
90,Feel Brand New (EP),이루 (ERU),17516,2011
91,세시봉 친구들 (3CD),"송창식, 윤형주, 김세환",17465,2011
92,Not Alone (Single),박정민,17450,2011
93,여인의 향기 OST,Various Artists,17308,2011
94,내가 갈게 (I'll be there),보이프렌드 (Boyfriend),16999,2011
95,Lights Go On Again (Deluxe Special Asian Edition),비스트 (Beast),16891,2011
96,1집 Moving In Secret,시크릿 (Secret),16619,2011
97,2011 마커스 라이브 워십,마커스,16520,2011
98,3집 O -正.反.合. (정반합),동방신기,15827,2011
99,2집 Revolution,카라 (KARA),15759,2011
100,시크릿 가든 OST,Various Artists,15747,2011
1,"6집 Sexy, Free & Single",슈퍼주니어 (Super Junior),356431,2012
2,Alive,BIGBANG (빅뱅),266848,2012
3,6집 Catch Me,동방신기,256447,2012
4,One Of A Kind,G-Dragon,204326,2012
5,`Sherlock` SHINee The 4th Mini Album,샤이니 (SHINee),181415,2012
6,SPECIAL EDITION `STILL ALIVE`,BIGBANG (빅뱅),148030,2012
7,`MAMA` EXO-K The 1st Mini Album,EXO-K,145925,2012
8,`Twinkle` Mini Album,소녀시대-태티서 (Girls` Generation-TTS),144222,2012
9,Midnight Sun,비스트 (Beast),144175,2012
10,Infinitize,인피니트 (Infinite),140277,2012
11,버스커 버스커 1집,버스커 버스커 (Busker Busker),136234,2012
12,Tarantallegra,XIA (준수),127620,2012
13,`SPY` The 6th Album Repackage,슈퍼주니어 (Super Junior),124191,2012
14,3rd Mini Album Ear Fun,씨엔블루 (CNBLUE),122515,2012
15,6집 싸이6甲 Part 1,싸이 (Psy),106594,2012
16,`MAMA` EXO-M The 1st Mini Album,EXO-M,87553,2012
17,10집 The Return,신화,83058,2012
18,Humanoids (Repackage),동방신기,80386,2012
19,1집 New Breed,박재범,76829,2012
20,Funky Town,티아라 (T-ara),76749,2012
21,`Electric Shock` The 2nd Mini Album,f(x),74694,2012
22,Another Me,김성규,70552,2012
23,Pandora,카라 (Kara),70425,2012
24,"23, Male, Single",장우영 (2PM),68462,2012
25,It`s,틴 탑 (Teen Top),65269,2012
26,In The Wind,비원에이포 (B1A4),63664,2012
27,Grown-Up,FTISLAND (FT 아일랜드),60891,2012
28,Uncommitted,XIA (준수),60000,2012
29,MBLAQ 4th Mini Album `100%Ver.`,엠블랙 (MBLAQ),58175,2012
30,Volume Up,4Minute (포미닛),56174,2012
31,The First Collage,양요섭 (비스트),53754,2012
32,4집 Five Treasure Box,FTISLAND (FT 아일랜드),53439,2012
33,The Boys,소녀시대,52863,2012
34,The B1A4Ⅰ`IGNITION` Special Edition,비원에이포 (B1A4),52562,2012
35,1집 The B1A4Ⅰ(IGNITION),비원에이포 (B1A4),50733,2012
36,aRtisT,틴 탑 (Teen Top),45979,2012
37,형돈이와 대준이 미니 3집/닭크 껭스타(CD),형돈이와 대준이,44496,2012
38,2집 Last Fantasy,아이유 (IU),43137,2012
39,The 5th Album Repackage A-CHA,슈퍼주니어 (Super Junior),41207,2012
40,Day By Day,티아라 (T-ara),40928,2012
41,Paradise,인피니트 (Infinite),40744,2012
42,Principle Of My Soul,나얼,39376,2012
43,1집 Blockbuster,블락비 (Block B),39130,2012
44,1집 마무리,버스커 버스커 (Busker Busker),38310,2012
45,Warrior,B.A.P,34882,2012
46,7집 Only One,보아 (BoA),34255,2012
47,Welcome To The Block,블락비 (Block B),33925,2012
48,스무 살의 봄,아이유 (IU),33486,2012
49,Power,B.A.P,33255,2012
50,F.Scott Fitzgerald's Way Of Love,2am,32553,2012
51,Mirage,티아라 (T-ara),32155,2012
52,The 1st Asia Tour Concert Album `SHINee World`,샤이니 (SHINee),31958,2012
53,야누스,보이프렌드 (Boyfriend),29480,2012
54,5집 Mr. Simple,슈퍼주니어 (Super Junior),29174,2012
55,99,에픽하이 (EPIK HIGH),27887,2012
56,Wonder Party,원더걸스 (Wonder Girls),27201,2012
57,5집 Slip Away,넬 (Nell),26143,2012
58,Love Style,보이프렌드 (Boyfriend),24732,2012
59,사랑비 OST,Various Artists,24520,2012
60,넌 내게 반했어 OST Part 1,Various Artists,24199,2012
61,Winter Poetry,신혜성 (신화),24102,2012
62,All Night (EP),백청강,23300,2012
63,MBLAQ 4th Mini Album 'BLAQ%Ver.',엠블랙 (MBLAQ),23300,2012
64,Face (Single),뉴이스트 (NU`EST),23108,2012
65,1집 Une Annee,에이핑크 (Apink),22804,2012
66,No Mercy,B.A.P,22585,2012
67,미니앨범 Ulala Sensation,울랄라세션,22316,2012
68,하지마,B.A.P,21639,2012
69,Touch,miss A,21613,2012
70,베스트앨범 2PM Member's Selection,2PM,21183,2012
71,Evolution,인피니트 (Infinite),21159,2012
72,숲,이승기,20882,2012
73,Action,뉴이스트 (NU`EST),20770,2012
74,Summer Special `Loving U`,씨스타 (Sistar),19296,2012
75,1집 First Step,씨엔블루 (CNBLUE),19265,2012
76,Knock (EP),존 박,18741,2012
77,2NE1 2nd Mini Album,2NE1,18416,2012
78,Inspirit,인피니트 (Infinite),18165,2012
79,김광석 Best,김광석,17948,2012
80,1집 Fiction And Fact,비스트 (Beast),17912,2012
81,Alone,씨스타 (Sistar),17802,2012
82,I`m Da One,조권 (2am),17547,2012
83,미니 2집 Solo,허영생,17547,2012
84,대박사건,B.A.P,17495,2012
85,1st Mini Album `First Invasion`,인피니트 (Infinite),17154,2012
86,it B1A4,비원에이포 (B1A4),17080,2012
87,맥시싱글 Flashback,애프터스쿨 (After School),16885,2012
88,1집 Heartbreaker,G-Dragon,16792,2012
89,응답하라 1997 감독판 OST,Various Artists,16736,2012
90,SM Best Album 3,Various Artists,16686,2012
91,GD & TOP,"GD, TOP (빅뱅)",16518,2012
92,닥터 진 OST,Various Artists,16485,2012
93,옥탑방 왕세자 OST Vol.1,Various Artists,16330,2012
94,SE7EN NEW MINI ALBUM,세븐 (SE7EN),16274,2012
95,Girls` Generation The Boys (RePackage Album),소녀시대,15494,2012
96,Let`s Fly,비원에이포 (B1A4),15430,2012
97,`Hot Summer` f(x) 1st Album Repackage,f(x),15309,2012
98,Tara's Free Time In Paris & Swiss,티아라 (T-ara),15270,2012
99,4집 Supersonic,윤하,15110,2012
100,폭풍속으로 (She`s Gone),초신성,15047,2012
1,정규1집 리패키지 XOXO (Kiss Ver.),EXO,335823,2013
2,I Got A Boy,소녀시대,293302,2013
3,XOXO (Kiss Ver.),EXO,269597,2013
4,12월의 기적 (Miracles in December) (Korean Ver.),EXO,262825,2013
5,19집 Hello,조용필,250046,2013
6,XOXO (Hug Ver.) (Chinese),EXO,200870,2013
7,정규1집 리패키지 XOXO (Hug Ver.),EXO,200183,2013
8,쿠데타 (COUP D'ETAT),G-Dragon,195603,2013
9,SHINee The 3rd Album Chapter 1. `Dream Girl-The Misconceptions Of You`,샤이니 (SHINee),185357,2013
10,十二月的奇迹 (Miracles in December) (Chinese Ver.),EXO,171546,2013
11,Destiny,인피니트 (Infinite),163379,2013
12,New Challenge,인피니트 (Infinite),162797,2013
13,I,김재중 (JYJ),148074,2013
14,WWW,김재중 (JYJ),132940,2013
15,Chapter 2 'Why So Serious?-The Misconceptions Of Me',샤이니 (SHINee),131438,2013
16,The 5th Mini Album `Everybody`,샤이니 (SHINee),129003,2013
17,Re:Blue,씨엔블루 (CNBLUE),128026,2013
18,3집 Grown,2PM,116278,2013
19,Jekyll,빅스 (VIXX),112259,2013
20,Round 3,김현중,111776,2013
21,이게 무슨 일이야,비원에이포 (B1A4),101988,2013
22,"2집 Hard To Love, How To Love",비스트 (Beast),101928,2013
23,Fly High,인피니트H,93884,2013
24,Incredible,XIA(준수),90787,2013
25,Badman,B.A.P,88989,2013
26,One Shot,B.A.P,86386,2013
27,1집 No.1,틴 탑 (Teen Top),81956,2013
28,Pink Tape,f(x),81825,2013
29,11집 The Classic,신화,78727,2013
30,Let's Talk About Love,승리,77532,2013
31,틴탑 클래스,틴 탑 (Teen Top),73365,2013
32,`MAMA` EXO-K The 1st Mini Album,EXO-K,72415,2013
33,버스커 버스커 2집,버스커 버스커 (Busker Busker),70148,2013
34,Voodoo,빅스 (VIXX),62960,2013
35,Y,김재중,62000,2013
36,Very Good,블락비 (Block B),61396,2013
37,2집 Break Down,슈퍼주니어-M (Super Junior-M),54095,2013
38,hyde,빅스 (VIXX),52649,2013
39,`MAMA` EXO-M The 1st Mini Album,EXO-M,52409,2013
40,4집 Full Bloom,카라 (Kara),46830,2013
41,Secret Garden,에이핑크 (Apink),46026,2013
42,The Misconceptions Of Us,샤이니 (SHINee),45657,2013
43,One Of A Kind,G-Dragon,45332,2013
44,Illusion,제국의아이들 (ZE:A),41221,2013
45,3집 Modern Times,아이유 (IU),40360,2013
46,11집 My Love,이승철,39124,2013
47,Trap,헨리,38388,2013
48,김광석 Best,김광석,38108,2013
49,The Mood,FTISLAND (FT 아일랜드),36393,2013
50,Love Beat,엠블랙 (MBLAQ),36205,2013
51,다칠 준비가 돼 있어,빅스 (VIXX),35906,2013
52,Present,씨엔블루 (CNBLUE),35657,2013
53,1st Mini Album,마이네임 (My Name),35490,2013
54,Thanks To,FTISLAND (FT 아일랜드),34249,2013
55,"O! RUL8 ,2?",방탄소년단,34030,2013
56,Sexy Beat,엠블랙 (MBLAQ),33736,2013
57,무한도전 자유로 가요제,Various Artists,30000,2013
58,Chemistry,트러블메이커,29970,2013
59,전원일기,티아라 N4,28360,2013
60,Flower,용준형,27703,2013
61,틴탑 클래스 어디션,틴 탑 (Teen Top),27225,2013
62,버스커 버스커 1집,버스커 버스커 (Busker Busker),25161,2013
63,I yah (Repackage),보이프렌드 (Boyfriend),24675,2013
64,Again,티아라 (T-ara),24652,2013
65,2 Cool 4 Skool,방탄소년단,24441,2013
66,스릴러,비투비 (BTOB),23949,2013
67,Les Miserables OST (Movie),Various Artists,23535,2013
68,Grown (Grand Edition),2PM,23336,2013
69,Give It To Me,씨스타 (Sistar),22365,2013
70,6집 싸이6甲 Part 1,싸이 (Psy),22094,2013
71,어느 봄날,2am,21737,2013
72,Paradise,인피니트 (Infinite),20843,2013
73,Super Junior World Tour Super Show 4,슈퍼주니어 (Super Junior),20263,2013
74,One Of A Kind In Seoul (2013 G-Dragon World Tour Live),G-Dragon,20031,2013
75,Musical DECEMBER 2013 with KIMJUNSU,김준수,20000,2013
76,2011 Girls' Generation Tour,소녀시대,19836,2013
77,3집 : COLLAGE,유키스 (U-Kiss),19440,2013
78,BigBang Alive Tour : 2012 BigBang Live Concert In Seoul,BIGBANG (빅뱅),19390,2013
79,Moments,유키스 (U-Kiss),18956,2013
80,1집 First Love,이하이,18924,2013
81,2013 Bigbang Alive Galaxy Tour : The Final In Seoul Live,BIGBANG (빅뱅),18466,2013
82,1집 Love Love Love,로이킴,17364,2013
83,Great Wave,신승훈,17257,2013
84,2집 Mystic Ballad,다비치,17046,2013
85,Monochrome,이효리,16868,2013
86,Infinitize,인피니트 (Infinite),16753,2013
87,Doom Dada (Special Edition),탑 (T.O.P),16704,2013
88,In The Wind,비원에이포 (B1A4),16267,2013
89,Name Is 4Minute,4Minute (포미닛),15620,2013
90,Again 1977,티아라 (T-ara),15611,2013
91,SPECIAL EDITION `STILL ALIVE`,BIGBANG (빅뱅),15610,2013
92,응답하라 1994 OST,Various Artists,15287,2013
93,"9집 Goodbye, Grief.",자우림,15075,2013
94,The 2nd Single,마이네임 (My Name),14576,2013
95,`Sherlock` SHINee The 4th Mini Album,샤이니 (SHINee),14301,2013
96,여보세요,뉴이스트 (NU`EST),14249,2013
97,Humanoids (Repackage),동방신기,14196,2013
98,`No.1` 리패키지 스페셜 에디션,틴 탑 (Teen Top),14175,2013
99,OST Best (Flash Back),백지영,14026,2013
100,있다 없으니까,씨스타 19,13964,2013
1,중독 (Overdose),EXO-K,385047,2014
2,上瘾; (Overdose),EXO-M,272718,2014
3,7집 Mamacita,슈퍼주니어 (Super Junior),265781,2014
4,Tense,동방신기,196971,2014
5,The 4th Mini Album `Mr.Mr.`,소녀시대,163209,2014
6,JUST US,JYJ,154804,2014
7,Season 2,인피니트 (Infinite),152479,2014
8,The 7th Album Special Edition `THIS IS LOVE`,슈퍼주니어 (Super Junior),143515,2014
9,Good Luck,비스트 (Beast),134449,2014
10,Who Am I,비원에이포 (B1A4),126561,2014
11,Can't Stop,씨엔블루 (CNBLUE),117371,2014
12,The 7th Album Repackage `수리수리 (Spellbound)`,동방신기,110566,2014
13,First Sensibility,B.A.P,106190,2014
14,DARK&WILD,방탄소년단,100906,2014
15,정규1집 리패키지 XOXO (Kiss Ver.),EXO,98421,2014
16,Error,빅스 (VIXX),90195,2014
17,Be Back,인피니트 (Infinite),89548,2014
18,Solo Day,비원에이포 (B1A4),86711,2014
19,Red Light,f(x),86143,2014
20,Skool Luv Affair,방탄소년단,86004,2014
21,H.E.R,블락비 (Block B),84543,2014
22,Holler,소녀시대-태티서 (Girls` Generation-TTS),82904,2014
23,Ace,태민 (TAEMIN),82807,2014
24,Eternity,빅스 (VIXX),82666,2014
25,2014S/S,위너(WINNER),80262,2014
26,EXOLOGY CHAPTER 1: THE LOST PLANET,EXO,78946,2014
27,1st Mini Album,투하트(우현&키),74242,2014
28,Identify,GOT7,70928,2014
29,Teen Top Exito,틴 탑 (Teen Top),70823,2014
30,Time,비스트 (Beast),69004,2014
31,Pink Blossom,에이핑크 (Apink),66139,2014
32,Swing,슈퍼주니어-M (Super Junior-M),66012,2014
33,2NE1 NEW ALBUM `CRUSH`,2NE1,66004,2014
34,12월의 기적 (Miracles in December) (Korean Ver.),EXO,65902,2014
35,광화문에서,규현 (KYUHYUN),63050,2014
36,Pink LUV,에이핑크 (Apink),61523,2014
37,GOT♡,GOT7,59725,2014
38,RISE,태양,58435,2014
39,`MAMA` EXO-K The 1st Mini Album,EXO-K,57760,2014
40,동행,김동률,53777,2014
41,First Single Album 靑,인피니트 F (Infinite F),52914,2014
42,미친거 아니야?,2PM,52840,2014
43,Got it ?,GOT7,51689,2014
44,WWW 화장을 지우다,김재중,50000,2014
45,Chapter8,god,43449,2014
46,Da Capo,토이 (Toy),42934,2014
47,꽃갈피,아이유 (IU),42767,2014
48,김광석 Best,김광석,42721,2014
49,Quiet Night,서태지,42705,2014
50,Frozen OST (Deluxe Ver.),Various Artists,41660,2014
51,S.M. The Ballad Vol.2 Breath (Korean Ver.),S.M. THE BALLAD,39917,2014
52,Begin Again OST,Various Artists,38983,2014
53,XOXO (Kiss Ver.),EXO,38701,2014
54,`MAMA` EXO-M The 1st Mini Album,EXO-M,37518,2014
55,Rain Effect,비 (Rain),37431,2014
56,SERENDIPITY,이선희,36305,2014
57,PLAY,AKMU (악뮤),35583,2014
58,뛰뛰빵빵,비투비 (BTOB),35052,2014
59,Frozen OST,Various Artists,34944,2014
60,Evolution,박재범,33512,2014
61,Timing,김현중,33329,2014
62,Voodoo,빅스 (VIXX),32183,2014
63,The Origin (한정반),인피니트 (Infinite),29950,2014
64,신발장,에픽하이 (EPIK HIGH),28452,2014
65,The 4th World Tour,동방신기,28106,2014
66,十二月的奇迹 (Miracles in December) (Chinese Ver.),EXO,27771,2014
